transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend,device_surrogate,corridor_surrogate
TXN0000231657,2024-02-20 21:46:30,Bill Payment,Utilities,2012,SUCCESS,26-35,36-45,Maharashtra,Axis,ICICI,Android,4G,0,21,Tuesday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,70edd0099649ab1f7d783f0168ca9a44cb32b400497b561050e0724c3eeb6c70
TXN0000249231,2024-02-28 07:00:04,P2P,Grocery,573,SUCCESS,18-25,18-25,Andhra Pradesh,HDFC,SBI,Android,5G,0,7,Wednesday,0,6e73d0f121018a2e518f77def67cb43f106c36cd26540965abf210de55153198,c8e2b3b4f0a84698f0728def6a1a1707dbd7231997fa6c5e3cbab4d44604b741
TXN0000233026,2024-02-28 23:51:55,P2P,Healthcare,507,SUCCESS,36-45,26-35,Andhra Pradesh,ICICI,IndusInd,Android,4G,0,23,Wednesday,0,61817be628e4349454154b6568048888fb2b8d615a032608def265e50f198189,23c57176680bc540f85df43b381d3021542c1c3a832be75b2e99d96b4b6a3c7d
TXN0000235024,2024-03-07 12:49:11,Bill Payment,Healthcare,2007,FAILED,36-45,18-25,Rajasthan,Yes Bank,HDFC,Android,4G,0,12,Thursday,0,d684677f5aaa61ca509f73b73d79de6b58a573f7dac266c525accfa628a93f98,35a486ae9bb0d490f11ac34900529095412ad159f065a02df56b3547c0cca648
TXN0000202676,2024-03-12 10:28:17,P2P,Shopping,4470,SUCCESS,36-45,36-45,Uttar Pradesh,PNB,HDFC,Android,4G,0,10,Tuesday,0,6c680f2eb050878b116f106209c55e0772f857a1b4c436728a85961ab689bd6b,4c935305c2376ab0cade3fcf492c814d3b76a4bb55ad8eef4d335c2981c3d27e
TXN0000227868,2024-03-13 12:56:33,Recharge,Utilities,2547,FAILED,26-35,26-35,Maharashtra,SBI,HDFC,Android,4G,0,12,Wednesday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,2193a93f07c7109afb49882878b3bf2bb4a8dc5669a971fe8adce1a7aa8f390d
TXN0000210503,2024-03-15 08:36:12,P2P,Food,80,SUCCESS,56+,26-35,Delhi,SBI,IndusInd,Android,5G,0,8,Friday,0,e9951df7a6059f435902205ba083a7e22a20c178c41a683584eeea29c33c6488,8536bf532962138de3c030281d2799f9417b8342b481d4e4edf0da1d971cc0db
TXN0000220322,2024-03-17 10:05:30,P2P,Education,2079,SUCCESS,18-25,26-35,Karnataka,SBI,Axis,Android,4G,0,10,Sunday,1,15435b25d8a188482ac276ffe486f3261be5864f156900d1262216972f5cae6c,29f7b49ebc0f7eaa33ce1638d0202df1286d86c184f2a6a2787893e56c099fe1
TXN0000229728,2024-03-18 16:56:55,Bill Payment,Utilities,4648,SUCCESS,26-35,46-55,Telangana,ICICI,SBI,Android,5G,0,16,Monday,0,4582fcb59c8869e41c83cfe40a744cd9c87c94b2ec885b74087ac2951f98d0a9,89c8a121be86d5184fd4da044991aa3b592fefe5f4bb8193f552a1e4b063cab2
TXN0000235329,2024-03-19 01:34:39,P2M,Education,1729,SUCCESS,36-45,18-25,Rajasthan,SBI,HDFC,Android,4G,0,1,Tuesday,0,d684677f5aaa61ca509f73b73d79de6b58a573f7dac266c525accfa628a93f98,2193a93f07c7109afb49882878b3bf2bb4a8dc5669a971fe8adce1a7aa8f390d
TXN0000200059,2024-03-20 16:54:12,P2P,Shopping,7863,SUCCESS,26-35,36-45,Andhra Pradesh,Yes Bank,SBI,Android,WiFi,0,16,Wednesday,0,29144c6ad72d48060ff35f5763fe146029d5384c6c6e2388b01def681cb7b215,3c08e5e13a7bc7431792ab618aa66e6e98264a5f775f4b5d78fcd1295a7bebf2
TXN0000225814,2024-03-23 15:20:58,P2P,Food,1937,SUCCESS,18-25,18-25,West Bengal,SBI,SBI,Android,4G,0,15,Saturday,1,603d1a5af878c6b49466d4727a5af16ea467bf5e1f770f2b9300f955952863a4,3cefd55b90072b3fd719f7ef36caee70e95b943b079eb110183e1d4053464e66
TXN0000206148,2024-03-31 20:52:07,P2M,Shopping,720,SUCCESS,26-35,26-35,Gujarat,ICICI,SBI,Android,5G,0,20,Sunday,1,400d7cc837da6bf764e6d56acc0d5ffe71ccc37a40e3079cc0a419e82f5481f7,89c8a121be86d5184fd4da044991aa3b592fefe5f4bb8193f552a1e4b063cab2
TXN0000235814,2024-04-03 16:05:31,P2M,Grocery,111,SUCCESS,18-25,26-35,Maharashtra,Kotak,Yes Bank,Android,4G,0,16,Wednesday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,b94b199a9cd25c803e8f09830b76007f3424697f4f3fcc0d65b5688aad2f2eb5
TXN0000214085,2024-04-07 16:02:53,Bill Payment,Grocery,308,SUCCESS,26-35,26-35,Delhi,ICICI,SBI,Web,5G,0,16,Sunday,1,4b6749cde0dfec1847f85efd791edc502847cd0fe078beb4b1d143d66dc9a9be,89c8a121be86d5184fd4da044991aa3b592fefe5f4bb8193f552a1e4b063cab2
TXN0000202365,2024-04-19 16:19:54,P2P,Healthcare,337,SUCCESS,26-35,46-55,Maharashtra,Kotak,Axis,Android,3G,0,16,Friday,0,1f32f4116dc6fe0d1d0be7536c9f299fa63cc3a3c5fefb89964372e643e8727b,4a73e4ed1e60deb0ba1258ceed628570401a70069c9ff9e5fac88455a887f9fc
TXN0000200158,2024-04-24 22:20:13,P2M,Food,137,SUCCESS,26-35,26-35,Maharashtra,HDFC,IndusInd,Android,4G,0,22,Wednesday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,275172e01c30e893bccfeaf265642ad00acd1b903e58eb2b50e612247d79504f
TXN0000215796,2024-04-25 19:09:35,Bill Payment,Food,1122,SUCCESS,46-55,26-35,Karnataka,ICICI,SBI,Android,5G,0,19,Thursday,0,1bce6ec27c645e5ea1a1a215466d4ca37913d8176eb4aaf97408112c8f8b8172,89c8a121be86d5184fd4da044991aa3b592fefe5f4bb8193f552a1e4b063cab2
TXN0000239157,2024-04-30 16:24:22,P2P,Entertainment,369,SUCCESS,36-45,26-35,Maharashtra,PNB,SBI,iOS,5G,0,16,Tuesday,0,fd746b837b1984c8a28120429c1a5a7219a07c6816fbacee76c266ed77dd6509,541c730868ea81e685159008054d700f388c92659ea36820f50e42a1fc02a577
TXN0000244798,2024-05-02 10:50:34,P2P,Grocery,984,SUCCESS,36-45,46-55,Maharashtra,PNB,SBI,Android,4G,0,10,Thursday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,541c730868ea81e685159008054d700f388c92659ea36820f50e42a1fc02a577
TXN0000237533,2024-05-12 11:16:11,P2P,Food,783,SUCCESS,56+,26-35,West Bengal,HDFC,Yes Bank,Android,5G,0,11,Sunday,1,76246746342ba453affbe1f8b29fb2edf075b46deee6b34de2c909ca7f78ca7c,5f573d7f953749790b3ffdad71404eb03499f81f9624c8ca2213160bfc4e9997
TXN0000243400,2024-05-16 20:32:00,P2P,Grocery,1257,SUCCESS,36-45,26-35,Maharashtra,Kotak,Yes Bank,iOS,4G,0,20,Thursday,0,1e0b1c32e07097c96ecec5961248807a96b179ab96b994b14ba19ccdabfd3e24,b94b199a9cd25c803e8f09830b76007f3424697f4f3fcc0d65b5688aad2f2eb5
TXN0000216195,2024-05-19 11:44:08,P2P,Entertainment,310,SUCCESS,36-45,18-25,Karnataka,Axis,SBI,Android,4G,0,11,Sunday,1,15435b25d8a188482ac276ffe486f3261be5864f156900d1262216972f5cae6c,3adea29ac91fc07d17fb62dc92911d5dc5e0915030ede05acc1c41d282cc84de
TXN0000236031,2024-05-20 16:01:41,P2P,Entertainment,354,SUCCESS,56+,26-35,Andhra Pradesh,Yes Bank,Axis,Android,4G,0,16,Monday,0,61817be628e4349454154b6568048888fb2b8d615a032608def265e50f198189,7be617d05978976274c0b685fa634e5be64826099bae50f548af2bb6625a7f3c
TXN0000227987,2024-05-21 10:50:54,P2M,Healthcare,464,SUCCESS,46-55,46-55,Karnataka,HDFC,SBI,iOS,4G,0,10,Tuesday,0,fe305a70a592b096a53252e4647023c188796b54b9693d17e01bf01aeb206bb5,c8e2b3b4f0a84698f0728def6a1a1707dbd7231997fa6c5e3cbab4d44604b741
TXN0000244350,2024-05-24 17:15:21,P2P,Food,222,SUCCESS,26-35,36-45,Tamil Nadu,HDFC,PNB,iOS,4G,0,17,Friday,0,63f24af3083eec1cfd855d041acde22c0d9aa930e8b19a229408ce6803e1f6a9,e5618ab45bc87b88bce2eee224630d9737c2171fbe4e922a4552df1d871b5571
TXN0000235661,2024-05-29 19:45:50,P2M,Fuel,702,SUCCESS,26-35,36-45,Tamil Nadu,SBI,SBI,Android,4G,0,19,Wednesday,0,6ae94056e4a19ca24da6674fa73f70fb8296679fc9fed6dacc8a1a173027530a,3cefd55b90072b3fd719f7ef36caee70e95b943b079eb110183e1d4053464e66
TXN0000215623,2024-06-02 21:09:53,P2M,Healthcare,632,FAILED,26-35,36-45,Gujarat,SBI,Kotak,Android,4G,0,21,Sunday,1,420d3cfbdc47e7697e1cc6db557c77a87ccefc4e6346250f7d5cbfdfb7c27672,0e333fef5f8956aca2d5769ade94e3dcd6bc09e8bf3d2543e32cdf11f4ed4490
TXN0000222681,2024-06-03 02:25:41,P2P,Shopping,2035,SUCCESS,46-55,18-25,Telangana,Yes Bank,SBI,Android,5G,0,2,Monday,0,4582fcb59c8869e41c83cfe40a744cd9c87c94b2ec885b74087ac2951f98d0a9,3c08e5e13a7bc7431792ab618aa66e6e98264a5f775f4b5d78fcd1295a7bebf2
TXN0000248752,2024-06-03 21:04:57,P2P,Grocery,1864,SUCCESS,18-25,18-25,Rajasthan,HDFC,PNB,Android,5G,0,21,Monday,0,f3d052ff91698cf2b8675c8ddb46de0844e4d776336b452eea6589d847fa3d65,e5618ab45bc87b88bce2eee224630d9737c2171fbe4e922a4552df1d871b5571
TXN0000208807,2024-06-04 08:26:36,P2P,Grocery,3314,SUCCESS,36-45,36-45,Tamil Nadu,HDFC,SBI,Android,4G,0,8,Tuesday,0,6ae94056e4a19ca24da6674fa73f70fb8296679fc9fed6dacc8a1a173027530a,c8e2b3b4f0a84698f0728def6a1a1707dbd7231997fa6c5e3cbab4d44604b741
TXN0000208499,2024-06-08 00:59:08,P2M,Shopping,2818,SUCCESS,18-25,36-45,Maharashtra,SBI,Kotak,Android,5G,0,0,Saturday,1,449224207f0d9961c3985416e7e7a4091496790eb8b7e14d32b0b0856f108a85,0e333fef5f8956aca2d5769ade94e3dcd6bc09e8bf3d2543e32cdf11f4ed4490
TXN0000220753,2024-06-10 12:09:05,P2M,Entertainment,346,SUCCESS,18-25,36-45,Karnataka,Yes Bank,ICICI,iOS,4G,0,12,Monday,0,fe305a70a592b096a53252e4647023c188796b54b9693d17e01bf01aeb206bb5,bd9e3473ab510ff989936c1bc96c5023895d4ec5d05902ffa26ce77b44537e3a
TXN0000219660,2024-06-11 10:07:03,Bill Payment,Grocery,1666,SUCCESS,46-55,26-35,Maharashtra,SBI,PNB,Android,4G,0,10,Tuesday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,0f0c7840e5d82a34888d340088a11333e965a4c687d2184cb0d4223116b02fba
TXN0000214504,2024-06-11 16:25:10,P2M,Entertainment,326,SUCCESS,46-55,26-35,Rajasthan,SBI,Yes Bank,Android,4G,0,16,Tuesday,0,d684677f5aaa61ca509f73b73d79de6b58a573f7dac266c525accfa628a93f98,7299904f9ece53cc17ff8ad053ff4ad45a67b44ab034d8def05d94c3c76b2cf5
TXN0000231370,2024-06-17 12:53:10,P2M,Fuel,1901,SUCCESS,36-45,26-35,Maharashtra,IndusInd,Yes Bank,Android,5G,0,12,Monday,0,449224207f0d9961c3985416e7e7a4091496790eb8b7e14d32b0b0856f108a85,bdc9660cbc941c2fe2b3a10e8da0fc1ffdcaf6a72434020804d59c18bfcfeaa7
TXN0000224517,2024-06-17 18:26:52,P2M,Utilities,4530,SUCCESS,26-35,36-45,Rajasthan,HDFC,HDFC,Android,WiFi,0,18,Monday,0,a255c19356dd58e876fd4c4a739e5ad234148615bfff592680d7dc833039d440,80f185c277f91c5b25c0b9381d5e003b76f9079e95ba25b177caf0699e1f9180
TXN0000223311,2024-06-20 15:55:17,P2P,Fuel,1430,SUCCESS,36-45,46-55,Andhra Pradesh,Kotak,IndusInd,iOS,3G,0,15,Thursday,0,340d22f8a54844977af7bff08c4d04c8749a39b38a9ff1c1f677f5156119d203,e2f8159597c9afd4bc62b6f8d7cafa0822d23b79c6aa850f5dba8c9f20f35d3d
TXN0000213881,2024-06-26 15:32:13,P2M,Other,2618,SUCCESS,56+,36-45,Telangana,HDFC,Yes Bank,Android,4G,0,15,Wednesday,0,9877fc3535eeefe4f476025357227f5023a18a2d6ccef5db85e09941621dceca,5f573d7f953749790b3ffdad71404eb03499f81f9624c8ca2213160bfc4e9997
TXN0000231384,2024-07-04 18:22:03,P2P,Utilities,4020,SUCCESS,56+,36-45,Delhi,Kotak,PNB,iOS,4G,0,18,Thursday,0,442dbfe28608058defc2d2eaf724465d685bef2f799ceb70e8e47a2c49f40526,4166bb7af9258b910385de61dac6c5d9bbe945788154a973c2c61d8053cba84c
TXN0000232719,2024-07-09 11:52:19,P2P,Food,148,SUCCESS,26-35,26-35,West Bengal,SBI,SBI,iOS,WiFi,0,11,Tuesday,0,f03425b9eef61c7e7fdd1bd3f040a2caac8f7440c89cf6a3dcb7c9b3dea60ec9,3cefd55b90072b3fd719f7ef36caee70e95b943b079eb110183e1d4053464e66
TXN0000232782,2024-07-10 18:00:43,P2M,Fuel,994,SUCCESS,26-35,36-45,Maharashtra,SBI,PNB,iOS,WiFi,0,18,Wednesday,0,45ae65bb7d093fd9d6146fadfbd7402c368bb811f5b35a5a55e5657834edb1a8,0f0c7840e5d82a34888d340088a11333e965a4c687d2184cb0d4223116b02fba
TXN0000227432,2024-07-18 19:43:49,P2P,Other,441,SUCCESS,26-35,46-55,Rajasthan,Kotak,ICICI,Android,4G,0,19,Thursday,0,d684677f5aaa61ca509f73b73d79de6b58a573f7dac266c525accfa628a93f98,a7a87fc0ca5c748ffde129772a691cdd251c0370483c402ddce74519685fbe50
TXN0000248578,2024-07-24 10:06:10,P2P,Shopping,283,SUCCESS,36-45,26-35,Uttar Pradesh,HDFC,PNB,Android,4G,0,10,Wednesday,0,6c680f2eb050878b116f106209c55e0772f857a1b4c436728a85961ab689bd6b,e5618ab45bc87b88bce2eee224630d9737c2171fbe4e922a4552df1d871b5571
TXN0000225574,2024-07-24 19:06:09,P2P,Food,356,SUCCESS,56+,46-55,Karnataka,ICICI,HDFC,Android,4G,0,19,Wednesday,0,15435b25d8a188482ac276ffe486f3261be5864f156900d1262216972f5cae6c,62026639bcca48fc1fc253dba21050152e64127b9f2bc77b5ae3f0106d78bd17
TXN0000236404,2024-07-26 18:01:55,Bill Payment,Fuel,446,SUCCESS,26-35,26-35,West Bengal,SBI,Yes Bank,Android,4G,0,18,Friday,0,603d1a5af878c6b49466d4727a5af16ea467bf5e1f770f2b9300f955952863a4,7299904f9ece53cc17ff8ad053ff4ad45a67b44ab034d8def05d94c3c76b2cf5
TXN0000201521,2024-07-31 17:32:56,P2M,Entertainment,471,SUCCESS,36-45,26-35,Maharashtra,SBI,HDFC,Android,4G,0,17,Wednesday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,2193a93f07c7109afb49882878b3bf2bb4a8dc5669a971fe8adce1a7aa8f390d
TXN0000224026,2024-08-04 21:44:30,Bill Payment,Healthcare,227,SUCCESS,18-25,26-35,Tamil Nadu,Axis,SBI,Android,4G,0,21,Sunday,1,6ae94056e4a19ca24da6674fa73f70fb8296679fc9fed6dacc8a1a173027530a,3adea29ac91fc07d17fb62dc92911d5dc5e0915030ede05acc1c41d282cc84de
TXN0000206513,2024-08-12 20:12:07,P2P,Food,1369,SUCCESS,26-35,18-25,Delhi,PNB,ICICI,Android,5G,0,20,Monday,0,e9951df7a6059f435902205ba083a7e22a20c178c41a683584eeea29c33c6488,bf4379743879326468417ae2e5e3f8a2cd505d7d62b45a566292d29b6eba2e45
TXN0000213764,2024-08-15 12:20:40,Bill Payment,Grocery,2133,SUCCESS,18-25,18-25,West Bengal,IndusInd,HDFC,iOS,4G,0,12,Thursday,0,372ae9adf25c26afe2dbc897cb4622bc77bee65843d474d057ca948ee5147a21,1723fde08ab39454bd6abc0b926730533c7a56c12f9b7a7d342c53c347fed9e7
TXN0000241435,2024-08-15 15:27:39,Bill Payment,Transport,658,SUCCESS,26-35,18-25,Maharashtra,SBI,IndusInd,Android,4G,0,15,Thursday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,8536bf532962138de3c030281d2799f9417b8342b481d4e4edf0da1d971cc0db
TXN0000238558,2024-08-18 12:53:23,Bill Payment,Shopping,1557,SUCCESS,26-35,26-35,Andhra Pradesh,HDFC,SBI,Android,4G,0,12,Sunday,1,61817be628e4349454154b6568048888fb2b8d615a032608def265e50f198189,c8e2b3b4f0a84698f0728def6a1a1707dbd7231997fa6c5e3cbab4d44604b741
TXN0000240211,2024-08-19 12:41:44,P2P,Food,104,SUCCESS,26-35,26-35,Delhi,SBI,HDFC,Android,4G,0,12,Monday,0,6a214f8ddaba3dc116ed1ec1777d180211ed9a0965b90bc984455896c990674d,2193a93f07c7109afb49882878b3bf2bb4a8dc5669a971fe8adce1a7aa8f390d
TXN0000227433,2024-08-21 19:42:46,Recharge,Transport,241,SUCCESS,36-45,36-45,Maharashtra,SBI,Yes Bank,Android,4G,0,19,Wednesday,0,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,7299904f9ece53cc17ff8ad053ff4ad45a67b44ab034d8def05d94c3c76b2cf5
TXN0000227335,2024-08-24 10:50:57,P2P,Fuel,329,SUCCESS,18-25,36-45,Maharashtra,SBI,HDFC,Android,5G,0,10,Saturday,1,449224207f0d9961c3985416e7e7a4091496790eb8b7e14d32b0b0856f108a85,2193a93f07c7109afb49882878b3bf2bb4a8dc5669a971fe8adce1a7aa8f390d
TXN0000208570,2024-08-24 17:43:15,P2M,Food,127,SUCCESS,36-45,36-45,Karnataka,SBI,Yes Bank,Android,4G,0,17,Saturday,1,15435b25d8a188482ac276ffe486f3261be5864f156900d1262216972f5cae6c,7299904f9ece53cc17ff8ad053ff4ad45a67b44ab034d8def05d94c3c76b2cf5
TXN0000205455,2024-08-26 09:06:25,P2P,Grocery,494,SUCCESS,36-45,26-35,Uttar Pradesh,Yes Bank,HDFC,Android,4G,0,9,Monday,0,6c680f2eb050878b116f106209c55e0772f857a1b4c436728a85961ab689bd6b,35a486ae9bb0d490f11ac34900529095412ad159f065a02df56b3547c0cca648
TXN0000231947,2024-08-27 10:41:55,P2P,Shopping,11609,SUCCESS,26-35,18-25,Uttar Pradesh,HDFC,Yes Bank,iOS,4G,0,10,Tuesday,0,12d7886f9519b53317045f6e82129cf3dbae0c7dd634e9a9cc69463a00564916,5f573d7f953749790b3ffdad71404eb03499f81f9624c8ca2213160bfc4e9997
TXN0000226098,2024-09-04 00:47:40,P2M,Other,485,FAILED,26-35,18-25,Rajasthan,Axis,HDFC,Android,4G,0,0,Wednesday,0,d684677f5aaa61ca509f73b73d79de6b58a573f7dac266c525accfa628a93f98,4a7850efb5151bba5d27221a3628ef1607e7c0567da5e9d4de07edd6b1a4f9e9
TXN0000213169,2024-09-16 17:29:03,P2P,Food,2974,SUCCESS,18-25,26-35,Tamil Nadu,Yes Bank,SBI,iOS,4G,0,17,Monday,0,63f24af3083eec1cfd855d041acde22c0d9aa930e8b19a229408ce6803e1f6a9,3c08e5e13a7bc7431792ab618aa66e6e98264a5f775f4b5d78fcd1295a7bebf2
TXN0000212491,2024-09-17 19:14:13,Bill Payment,Entertainment,170,SUCCESS,36-45,26-35,West Bengal,PNB,IndusInd,iOS,4G,0,19,Tuesday,0,372ae9adf25c26afe2dbc897cb4622bc77bee65843d474d057ca948ee5147a21,c82728b0f8bf839b3c87e9e3f9bdf7813e30b1ffa3610ea2c43194db95f77dc0
TXN0000244606,2024-09-18 15:43:11,P2P,Grocery,1666,SUCCESS,18-25,36-45,Tamil Nadu,SBI,HDFC,iOS,4G,0,15,Wednesday,0,63f24af3083eec1cfd855d041acde22c0d9aa930e8b19a229408ce6803e1f6a9,2193a93f07c7109afb49882878b3bf2bb4a8dc5669a971fe8adce1a7aa8f390d
TXN0000212241,2024-09-20 19:54:55,P2P,Grocery,591,SUCCESS,26-35,26-35,West Bengal,ICICI,ICICI,Android,4G,0,19,Friday,0,603d1a5af878c6b49466d4727a5af16ea467bf5e1f770f2b9300f955952863a4,d9c57127a1b1ced0ea5a705cb525a00c679e7b2746115e2b93ab20a61e963228
TXN0000238209,2024-09-24 12:10:28,P2P,Grocery,1234,SUCCESS,18-25,26-35,Delhi,HDFC,ICICI,Android,WiFi,0,12,Tuesday,0,aaaac683ba32909c0129fd379ca68ff88058ec487cc6f68ae277538a4bca0650,07262f87cb013effedfb31f92bba607750b2a4e7c13978f7abade8f9913453b0
TXN0000240035,2024-09-24 12:49:26,P2P,Entertainment,158,SUCCESS,46-55,36-45,Uttar Pradesh,ICICI,SBI,iOS,WiFi,0,12,Tuesday,0,9da9d7fa052d88f0c1f89eb3e37a04958cb9e26b41543c36ad3a8b9ad1fbca48,89c8a121be86d5184fd4da044991aa3b592fefe5f4bb8193f552a1e4b063cab2
TXN0000244356,2024-09-25 16:03:08,Bill Payment,Grocery,1497,SUCCESS,36-45,36-45,Rajasthan,Kotak,Yes Bank,Android,4G,0,16,Wednesday,0,d684677f5aaa61ca509f73b73d79de6b58a573f7dac266c525accfa628a93f98,b94b199a9cd25c803e8f09830b76007f3424697f4f3fcc0d65b5688aad2f2eb5
TXN0000219635,2024-09-30 19:10:53,Bill Payment,Shopping,2119,SUCCESS,36-45,26-35,Karnataka,Axis,Yes Bank,Android,5G,0,19,Monday,0,1bce6ec27c645e5ea1a1a215466d4ca37913d8176eb4aaf97408112c8f8b8172,06da9a98847f82f0a2b9d1d52be3d0adb21d4d499568c96f8192742e6a876da4
TXN0000221545,2024-10-02 13:23:21,P2P,Food,736,SUCCESS,18-25,18-25,West Bengal,Axis,Kotak,Android,5G,0,13,Wednesday,0,76246746342ba453affbe1f8b29fb2edf075b46deee6b34de2c909ca7f78ca7c,8b30b5dc88f1501635c2d3fb5d76fbbf862246b3dd20053d2c1ab8ee08462943
TXN0000242140,2024-10-02 16:50:26,P2M,Fuel,343,SUCCESS,36-45,36-45,Tamil Nadu,ICICI,SBI,Android,4G,0,16,Wednesday,0,6ae94056e4a19ca24da6674fa73f70fb8296679fc9fed6dacc8a1a173027530a,89c8a121be86d5184fd4da044991aa3b592fefe5f4bb8193f552a1e4b063cab2
TXN0000204839,2024-10-06 18:32:41,P2M,Grocery,359,SUCCESS,26-35,36-45,Maharashtra,SBI,ICICI,Android,4G,0,18,Sunday,1,ef523e3637ffaa30f79047f3f5bfe37e0b12238aeb99c9029798e2512e26547a,0c705e316a07bed32d97bf673687e0851368b6623ce390755ba6ceda37a62e7c
ATK_FAN_0000,2024-10-18 14:00:00,P2P,Other,18000,SUCCESS,26-35,36-45,Delhi,HDFC,SBI,Web,WiFi,1,14,Fri,0,aaaac683ba32909c0129fd379ca68ff88058ec487cc6f68ae277538a4bca0650,FANIN
ATK_FAN_0001,2024-10-18 14:02:00,P2P,Other,24000,SUCCESS,26-35,36-45,Delhi,HDFC,SBI,Web,5G,1,14,Fri,0,e9951df7a6059f435902205ba083a7e22a20c178c41a683584eeea29c33c6488,FANIN
